,Attrition,Age,DistanceFromHome,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,PerformanceRating,JobInvolvement,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,NumCompaniesWorked_Missing,TotalWorkngYears_Missing,EnvironmentSatisfaction_Missing,JobSatisfaction_Missing,WorkLifeBalance_Missing,Age_Bin,Gender_Male,JobRole_Human_Resources,JobRole_Laboratory_Technician,JobRole_Manager,JobRole_Manufacturing_Director,JobRole_Research_Director,JobRole_Research_Scientist,JobRole_Sales_Executive,JobRole_Sales_Representative,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Education_2,Education_3,Education_4,Education_5,EducationField_Life_Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical_Degree,JobLevel_2,JobLevel_3,JobLevel_4,JobLevel_5,MaritalStatus_Married,MaritalStatus_Single,Department_Research_Development,Department_Sales,StockOptionLevel_1,StockOptionLevel_2,StockOptionLevel_3
0,0,43,6,24390,0.0,15,9.0,2,8,1,7,3,3,4.0,2.0,4.0,1,1,1,1,1,2,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
1,0,58,18,24500,3.0,12,32.0,2,9,1,5,3,4,4.0,4.0,4.0,1,1,1,1,1,3,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
2,0,34,6,24390,3.0,11,14.0,2,7,5,7,3,3,4.0,4.0,3.0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
3,0,49,1,73140,7.0,22,25.0,2,7,0,7,4,3,4.0,4.0,3.0,1,1,1,1,1,2,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
4,0,55,6,50930,2.0,16,31.0,3,7,0,0,3,3,4.0,2.0,4.0,1,1,1,1,1,3,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
5,0,31,16,99070,0.0,13,6.0,3,5,0,3,3,3,2.0,3.0,4.0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0
6,0,31,2,103770,1.0,14,10.0,2,10,0,2,3,1,3.0,3.0,4.0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
7,0,40,22,167040,9.0,22,5.0,2,3,0,2,4,4,3.0,4.0,3.0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
8,0,40,5,104820,1.0,11,21.0,6,21,12,8,3,3,3.0,2.0,3.0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0
9,0,36,13,67350,8.0,25,16.0,3,13,3,7,4,4,3.0,4.0,3.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
10,0,30,2,51310,0.0,15,10.0,2,9,7,8,1,3,2.0,2.0,4.0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
11,0,33,7,20970,1.0,14,10.0,5,10,0,1,3,4,4.0,2.0,3.0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
12,0,30,17,104350,0.0,11,12.0,5,11,4,7,3,4,3.0,4.0,4.0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
13,0,43,6,36000,1.0,23,7.0,2,7,7,7,4,3,2.0,4.0,4.0,1,1,1,1,1,2,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
